"Issue Type","Summary","Description","Epic Name","Parent","Labels","Priority","Story Points","Milestone","Acceptance Criteria"
"Story","S12-023 Actionable follow-up prompts from findings","As a QA engineer, I want follow-up prompts, so that validation planning is accelerated.","","Verification and Risk Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M3","Given findings answer; when follow-ups requested; then suggested questions include known evidence gaps"
"Story","S12-024 What changed questions","As an end user, I want what changed answers, so that version differences are clear.","","Change Impact and Testing Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given delta artifacts; when asked what changed; then changed entities and version context are cited"
"Story","S12-025 Change impact explanation","As a backend engineer, I want impact explanation, so that downstream effects are estimated.","","Change Impact and Testing Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given change and dependency evidence; when impact asked; then affected entities and rationale are returned"
"Story","S12-026 What should I test guidance","As a QA engineer, I want test focus guidance, so that regression effort is prioritized.","","Change Impact and Testing Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given change scenario and test evidence; when asked; then prioritized validation areas are cited"
"Story","S12-027 Scenario and generated test aware answers","As a QA engineer, I want scenario/test-aware responses, so that advice matches produced artifacts.","","Change Impact and Testing Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M3","Given scenario test artifacts present; when queried; then references use artifact ids else request generation"
"Story","S12-028 Combined change risk test summary","As a release lead, I want combined summary, so that go no-go decisions are faster.","","Change Impact and Testing Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M3","Given mixed evidence; when summary requested; then change risk and test recommendations include missing-data qualifiers"
"Story","S12-029 Missing evidence refusal behavior","As an end user, I want unsupported claims refused, so that fabricated answers are avoided.","","Guardrails, Confidence, and Explainability","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M2","Given required evidence missing; when question asked; then assistant refuses speculation and lists missing sources"
"Story","S12-030 Confidence labels on every response","As an end user, I want confidence labels, so that recommendation weight is clear.","","Guardrails, Confidence, and Explainability","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M2","Given response generated; when rendered; then confidence label and rationale are shown"
"Story","S12-031 Hallucination prevention guardrails","As a security engineer, I want guardrails, so that output stays bounded by evidence.","","Guardrails, Confidence, and Explainability","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M1","Given unsupported prompt; when processed; then system blocks uncited speculation"
"Story","S12-032 Citation drill-down details","As an end user, I want citation drill-down, so that source claims can be inspected.","","Guardrails, Confidence, and Explainability","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M2","Given citation shown; when expanded; then artifact type id and location hint are visible"
"Story","S12-033 Strict evidence-only mode","As a product owner, I want strict mode, so that conservative behavior is enforceable.","","Guardrails, Confidence, and Explainability","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M2","Given strict mode enabled; when unsupported inference requested; then response refuses by default"
"Story","S12-034 Session continuity across navigation","As an end user, I want chat continuity, so that I do not repeat context.","","Persistence, Export, and Session Continuity","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M3","Given user navigates app; when returning to chat; then session history is preserved for active scope"
"Story","S12-035 Export answer plus citations","As a QA engineer, I want exports, so that evidence can be attached to planning artifacts.","","Persistence, Export, and Session Continuity","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M3","Given response available; when export requested; then output includes question answer confidence citations"
"Story","S12-036 Staleness indication and refresh","As an architect, I want staleness indicators, so that outdated context is not mistaken for current state.","","Persistence, Export, and Session Continuity","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M3","Given artifacts changed; when chat used; then stale state is flagged and refresh action is available"
"Story","S12-037 Clear conversation history","As an end user, I want clear history controls, so that I can start a fresh thread.","","Persistence, Export, and Session Continuity","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Low","1","S12-M3","Given clear action; when confirmed; then conversation resets without deleting analysis artifacts"
"Story","S12-038 Structured operational logging","As an operator, I want structured logs, so that failures and latency can be diagnosed.","","Observability and Product Feedback","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","3","S12-M4","Given query executed; when logs inspected; then trace id timings evidence counts and provider are present"
"Story","S12-039 User feedback capture","As a product owner, I want feedback capture, so that quality improvements can be prioritized.","","Observability and Product Feedback","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Low","2","S12-M4","Given user rates response; when submitted; then feedback event is recorded with response context"
"Story","S12-040 Grounding quality metrics","As a developer, I want citation and refusal metrics, so that regressions are detected.","","Observability and Product Feedback","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M4","Given telemetry pipeline; when evaluated; then citation coverage and refusal correctness metrics are available"
"Story","S12-041 Health dashboard visibility","As an operator, I want health dashboards, so that incidents are immediately visible.","","Observability and Product Feedback","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Low","2","S12-M4","Given degraded runtime; when viewed; then dashboard shows actionable diagnosis hints"
"Story","S12-042 Compose-based startup workflow","As a developer, I want compose profiles, so that stack startup is reproducible.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M1","Given docs and compose profile; when started; then chatbot and local model services come up predictably"
"Story","S12-043 Integration and regression test suite","As a developer, I want integration tests, so that core flows do not regress.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","5","S12-M4","Given test suite run; when complete; then architecture risk and missing-evidence scenarios pass"
"Story","S12-044 Startup configuration validation","As an operator, I want startup validation, so that misconfiguration is detected early.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M4","Given required config missing; when service starts; then explicit validation error is emitted"
"Story","S12-045 Stable API contract documentation","As a developer, I want stable API docs, so that frontend integration remains reliable.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M1","Given contract updated; when docs published; then schema fields and version notes are aligned"
"Task","BL-S12-001 Compose local LLM integration","Add optional local LLM service and chatbot wiring in compose.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M1","Given compose profile enabled; when stack starts; then local model and chatbot are reachable"
"Task","BL-S12-002 Env var contract","Define provider model base-url timeout token-limit env vars and validation.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","2","S12-M1","Given required vars; when startup occurs; then config loads; else clear failure"
"Task","BL-S12-003 Chatbot health endpoint","Implement health endpoint for model connectivity and readiness status.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M1","Given model reachable; when health called; then healthy response returned"
"Task","BL-S12-004 Local-only default mode","Ensure chatbot does not depend on cloud providers by default.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","2","S12-M1","Given no cloud key; when query executed; then local-only path is used"
"Task","BL-S12-005 Chatbot query endpoint","Create POST chatbot query endpoint and request response envelope.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M1","Given valid question; when endpoint called; then answer envelope includes citations and flags"
"Task","BL-S12-006 Context retrieval service","Build context aggregation service across IR graph verification change scenario test and risk artifacts.","","Evidence Retrieval and Context Assembly","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","5","S12-M2","Given active scope; when retrieval runs; then normalized evidence set is returned"
"Task","BL-S12-007 Hybrid retrieval","Implement structured and semantic retrieval strategy for query handling.","","Evidence Retrieval and Context Assembly","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","5","S12-M2","Given query type; when retrieval executes; then best-fit strategy is applied"
"Task","BL-S12-008 Context budgeting","Add deterministic token budgeting and truncation metadata.","","Evidence Retrieval and Context Assembly","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","3","S12-M2","Given oversized context; when assembled; then deterministic truncation occurs with notice"
"Task","BL-S12-009 Prompt assembly service","Create prompt assembly with grounding and refusal guardrails.","","Guardrails, Confidence, and Explainability","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M1","Given evidence input; when prompt built; then unsupported-claim guardrails are included"
"Task","BL-S12-010 Local model invocation service","Implement provider adapters for local model invocation.","","Local LLM Runtime and Configuration","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","5","S12-M1","Given provider configured; when invoked; then unified client returns response or typed error"
"Task","BL-S12-011 Answer schema with citations","Define response DTO for answer citations confidence and qualification flags.","","Architecture Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","2","S12-M1","Given response serialized; when returned; then citation metadata fields are complete"
"Task","BL-S12-012 Frontend chatbot panel","Create embedded frontend chatbot panel component.","","Chatbot UI and Conversation Experience","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","5","S12-M1","Given panel opened; when question submitted; then response renders in UI"
"Task","BL-S12-013 Conversation state management","Implement local conversation state loading retry and reset behavior.","","Chatbot UI and Conversation Experience","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M2","Given multi-turn usage; when follow-up asked; then prior context remains available"
"Task","BL-S12-014 Context binding from selected IR index session","Attach active scope identifiers to chatbot requests.","","Chatbot UI and Conversation Experience","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M1","Given active selection; when query sent; then payload includes scope identifiers"
"Task","BL-S12-015 IR architecture context provider","Implement IR-based architecture evidence extraction provider.","","Architecture Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M2","Given IR evidence; when architecture question asked; then answer cites IR objects"
"Task","BL-S12-016 Graph dependency context provider","Implement graph dependency retrieval for dependency Q and A.","","Architecture Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M2","Given graph evidence; when dependency asked; then direct and transitive links are cited"
"Task","BL-S12-017 Verification context provider","Integrate verification output retrieval and normalization for chatbot evidence.","","Verification and Risk Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given verification artifacts; when asked; then findings answer uses cited verification evidence"
"Task","BL-S12-018 Change impact context provider","Integrate delta and change-impact retrieval for what changed answers.","","Change Impact and Testing Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given delta artifacts; when asked; then changed entities and impacts are cited"
"Task","BL-S12-019 Scenario and test context provider","Integrate scenarios prompts and generated tests as retrieval evidence.","","Change Impact and Testing Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given scenario and test artifacts; when asked what to test; then prioritized evidence-backed guidance appears"
"Task","BL-S12-020 Aegis risk context provider","Integrate Aegis risk outputs into chatbot evidence corpus.","","Verification and Risk Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M3","Given Aegis artifacts; when risk asked; then response cites risk sources"
"Task","BL-S12-021 Confidence label generation","Implement confidence labeling from evidence consistency and coverage.","","Guardrails, Confidence, and Explainability","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","2","S12-M2","Given response generated; when label computed; then confidence and rationale are returned"
"Task","BL-S12-022 Missing evidence refusal logic","Implement insufficient-evidence detection and safe refusal flow.","","Guardrails, Confidence, and Explainability","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M2","Given missing required evidence; when query processed; then speculation is refused with missing-source details"
"Task","BL-S12-023 Local runtime failure handling","Handle model timeout and unavailable endpoint gracefully in backend and UI.","","Verification and Risk Question Answering","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M3","Given model endpoint failure; when query submitted; then non-crashing actionable error is shown"
"Task","BL-S12-024 Backend unit tests","Add backend unit coverage for retrieval prompts guardrails confidence and schema.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","5","S12-M4","Given test run; when backend suite executes; then core service tests pass"
"Task","BL-S12-025 Frontend unit tests","Add frontend tests for panel state citations confidence and errors.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","3","S12-M4","Given test run; when frontend suite executes; then chat UI behavior tests pass"
"Task","BL-S12-026 End-to-end integration tests","Add integration tests for end-to-end local chatbot flow.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","High","8","S12-M4","Given local stack running; when scripted queries run; then expected cited responses are validated"
"Task","BL-S12-027 Developer documentation","Write setup configuration and troubleshooting documentation for local deployment.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","3","S12-M4","Given new developer setup; when docs followed; then sample query succeeds"
"Task","BL-S12-028 Security and privacy review","Conduct security privacy review for secrets logging and local-only posture.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Highest","3","S12-M4","Given checklist execution; when review concludes; then no release-blocking privacy or cloud-coupling findings remain"
"Task","BL-S12-029 Structured observability","Implement structured telemetry for request retrieval invocation and response lifecycle.","","Observability and Product Feedback","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","3","S12-M4","Given query execution; when logs inspected; then request trace fields are present"
"Task","BL-S12-030 User feedback hook","Add UI and backend path for response usefulness feedback capture.","","Observability and Product Feedback","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Low","2","S12-M4","Given user feedback action; when submitted; then event is recorded with context metadata"
"Task","BL-S12-031 JIRA import alignment","Align backlog identifiers and fields with JIRA import schema.","","Developer Experience and Deployment","aridnova;local-llm;chatbot;rag;evidence-grounded;s12","Medium","2","S12-M4","Given import template; when export generated; then required fields map cleanly"
